date,pool_name,revenue_usd,cost_usd,Pi_usd
2023-05-16,AntPool,3028338.561520396,3712531.3325811154,-684192.7710607196
2023-05-16,BTC.com,566041.3827744455,696099.6248589591,-130058.24208451365
2023-05-16,Binance Pool,2282710.706426337,2784398.4994358364,-501687.79300949955
2023-05-16,Braiins Pool,195880.01108382508,232033.2082863197,-36153.19720249463
2023-05-16,Carbon Negative,189613.37487596835,232033.2082863197,-42419.83341035136
2023-05-16,F2Pool,1705306.237672791,2088298.874576877,-382992.6369040862
2023-05-16,Foundry USA,3473471.144378395,4176597.749153754,-703126.6047753594
2023-05-16,Luxor,186622.8834202418,0.0,186622.8834202418
2023-05-16,MARA Pool,753539.8286511994,928132.8331452789,-174593.0044940795
2023-05-16,NiceHash,190611.9950727604,0.0,190611.9950727604
2023-05-16,PEGA Pool,188749.51413362,0.0,188749.51413362
2023-05-16,Poolin,195011.33864729851,232033.2082863197,-37021.8696390212
2023-05-16,ViaBTC,2064264.0785287283,2552365.291149517,-488101.2126207887
2023-05-17,AntPool,6998092.566753025,4252904.692489063,2745187.874263962
2023-05-17,BTC.com,590825.2581340887,344830.110201816,245995.1479322727
2023-05-17,Binance Pool,2230352.349955458,1379320.4408072638,851031.9091481944
2023-05-17,Braiins Pool,198945.7602508616,114943.370067272,84002.39018358961
2023-05-17,Carbon Negative,194525.63141248087,114943.370067272,79582.26134520887
2023-05-17,EMCDPool,552787.7779000935,0.0,552787.7779000935
2023-05-17,F2Pool,4313748.672426454,2643697.511547256,1670051.160879198
2023-05-17,Foundry USA,9632835.933881443,5977055.243498143,3655780.6903833
2023-05-17,KuCoinPool,392465.01117189066,229886.740134544,162578.27103734665
2023-05-17,Luxor,195808.63788800372,0.0,195808.63788800372
2023-05-17,MARA Pool,184780.8976112775,114943.370067272,69837.5275440055
2023-05-17,NiceHash,196443.6404858284,0.0,196443.6404858284
2023-05-17,PEGA Pool,184025.48048421965,0.0,184025.48048421965
2023-05-17,Poolin,571484.8039044032,344830.110201816,226654.69370258722
2023-05-17,ULTIMUSPOOL,366290.6013997983,0.0,366290.6013997983
2023-05-17,ViaBTC,3212053.6653453596,1954037.2911436236,1258016.374201736
2023-05-18,AntPool,6547680.46298501,4640186.719662786,1907493.7433222234
2023-05-18,BTC.com,596420.7822076301,397730.2902568103,198690.4919508198
2023-05-18,Binance Pool,954391.4865341451,662883.8170946838,291507.6694394613
2023-05-18,Carbon Negative,369752.1133706125,265153.5268378735,104598.58653273899
2023-05-18,EMCDPool,207268.88675529475,0.0,207268.88675529475
2023-05-18,F2Pool,4175023.4090311434,2916688.795216609,1258334.6138145346
2023-05-18,Foundry USA,8099071.474786698,5700800.8270142805,2398270.6477724174
2023-05-18,Luxor,1158971.476561167,0.0,1158971.476561167
2023-05-18,MARA Pool,359101.8198527605,265153.5268378735,93948.29301488702
2023-05-18,Poolin,362676.2898825274,265153.5268378735,97522.76304465387
2023-05-18,SBI Crypto,746878.5721076652,530307.053675747,216571.51843191823
2023-05-18,ULTIMUSPOOL,573041.5320912241,0.0,573041.5320912241
2023-05-18,ViaBTC,2410459.8705688715,1723497.9244461777,686961.9461226938
2023-05-19,AntPool,8782886.863090431,5694678.295247262,3088208.567843169
2023-05-19,BTC.com,385105.4130316017,247594.7084890114,137510.7045425903
2023-05-19,Binance Pool,1507574.3684446388,990378.8339560456,517195.5344885932
2023-05-19,Braiins Pool,749936.3226550734,495189.4169780228,254746.90567705058
2023-05-19,Carbon Negative,189924.85139222495,123797.3542445057,66127.49714771926
2023-05-19,EMCDPool,552143.9505395577,0.0,552143.9505395577
2023-05-19,F2Pool,2648787.8404206643,1733162.9594230796,915624.8809975847
2023-05-19,Foundry USA,8355722.489590506,5447083.58675825,2908638.9028322557
2023-05-19,Luxor,583615.9294606555,0.0,583615.9294606555
2023-05-19,MARA Pool,748642.0372510809,495189.4169780228,253452.62027305807
2023-05-19,NiceHash,200426.142915553,0.0,200426.142915553
2023-05-19,Poolin,197787.948986614,123797.3542445057,73990.59474210831
2023-05-19,SBI Crypto,191375.8290340405,123797.3542445057,67578.47478953481
2023-05-19,ULTIMUSPOOL,191971.61533492865,0.0,191971.61533492865
2023-05-19,ViaBTC,3179647.13759126,2104555.0221565966,1075092.1154346634
2023-05-20,AntPool,5142920.525712837,3916682.028818605,1226238.4968942325
2023-05-20,BTC.com,539307.496420534,435186.8920909561,104120.60432957788
2023-05-20,Binance Pool,2989946.1208541766,2320996.7578184325,668949.363035744
2023-05-20,Braiins Pool,555857.3155003896,435186.8920909561,120670.42340943345
2023-05-20,Carbon Negative,369354.0119951855,290124.5947273041,79229.41726788139
2023-05-20,EMCDPool,1202375.4628916192,0.0,1202375.4628916192
2023-05-20,F2Pool,2957102.635460036,2320996.7578184325,636105.8776416034
2023-05-20,Foundry USA,6728830.727490812,5222242.705091473,1506588.022399339
2023-05-20,Luxor,371107.8611425801,0.0,371107.8611425801
2023-05-20,MARA Pool,1331794.3923565045,1015436.0815455642,316358.3108109402
2023-05-20,NiceHash,362579.7245440472,0.0,362579.7245440472
2023-05-20,PEGA Pool,176227.58625628782,0.0,176227.58625628782
2023-05-20,Poolin,376992.6241802569,290124.5947273041,86868.02945295279
2023-05-20,SBI Crypto,194055.3164456993,145062.297363652,48993.01908204731
2023-05-20,ViaBTC,1292255.8302053527,1015436.0815455642,276819.7486597885
2023-05-21,AntPool,6118017.969844181,4036922.744739148,2081095.2251050333
2023-05-21,Binance Pool,1797347.8584694434,1187330.2190409258,610017.6394285175
2023-05-21,Braiins Pool,918648.9442799763,593665.1095204629,324983.8347595134
2023-05-21,Carbon Negative,359305.5046298412,237466.0438081852,121839.46082165599
2023-05-21,EMCDPool,181225.7948920422,0.0,181225.7948920422
2023-05-21,F2Pool,4308077.222587374,2849592.525698222,1458484.6968891518
2023-05-21,Foundry USA,8647880.928381674,5699185.051396444,2948695.8769852296
2023-05-21,Luxor,550356.2273087869,0.0,550356.2273087869
2023-05-21,MARA Pool,909863.5489733347,593665.1095204629,316198.4394528718
2023-05-21,PEGA Pool,538335.5415752417,0.0,538335.5415752417
2023-05-21,Poolin,190682.98992339568,118733.0219040926,71949.96801930308
2023-05-21,SBI Crypto,177942.427173173,118733.0219040926,59209.405269080395
2023-05-21,ViaBTC,2510304.711525312,1662262.306657296,848042.4048680163
2023-05-22,AntPool,7487138.965345431,5158424.519666431,2328714.4456790006
2023-05-22,BTC.com,176623.76059967343,125815.2321869861,50808.52841268733
2023-05-22,Binance Pool,1814006.1390847336,1258152.321869861,555853.8172148725
