date,miner_id,pool_name,daily_share,cost_usd_per_day
2022-12-20,3,ViaBTC,0.1000000000,1032379.5648319643
2022-12-20,4,F2Pool,0.1000000000,1032379.5648319643
2022-12-20,1,AntPool,0.3000000000,3097138.6944958926
2022-12-20,0,Foundry USA,0.2500000000,2580948.9120799107
2022-12-20,5,Binance Pool,0.1500000000,1548569.3472479463
2022-12-20,9,BTC.com,0.0500000000,516189.7824159822
2022-12-21,8,Braiins Pool,0.0349650350,362563.4815402970
2022-12-21,2,Unknown,0.0139860140,145025.3926161188
2022-12-21,7,SBI Crypto,0.0069930070,72512.6963080594
2022-12-21,0,Foundry USA,0.3426573427,3553122.1159841153
2022-12-21,5,Binance Pool,0.0909090909,942665.0509678406
2022-12-21,3,ViaBTC,0.1258741259,1305228.5325081374
2022-12-21,6,Mara Pool,0.0209790210,217538.0889241782
2022-12-21,1,AntPool,0.1958041958,2030355.4945518000
2022-12-21,9,BTC.com,0.0209790210,217538.0889241782
2022-12-21,4,F2Pool,0.1258741259,1305228.5325081374
2022-12-22,3,ViaBTC,0.1407407407,1466673.6193328216
2022-12-22,0,Foundry USA,0.2962962963,3087733.9363699332
2022-12-22,1,AntPool,0.2518518519,2624573.8463833928
2022-12-22,8,Braiins Pool,0.0518518519,540353.4393597407
2022-12-22,6,Mara Pool,0.0148148148,154386.6966621801
2022-12-22,5,Binance Pool,0.0444444444,463160.0899865404
2022-12-22,2,Unknown,0.0148148148,154386.6966621801
2022-12-22,9,BTC.com,0.0148148148,154386.6966621801
2022-12-22,7,SBI Crypto,0.0148148148,154386.6966621801
2022-12-22,10,Poolin,0.0074074074,77193.3483310901
2022-12-22,4,F2Pool,0.1185185185,1235093.5743395514
2022-12-23,8,Braiins Pool,0.0151515152,158615.1284154508
2022-12-23,7,SBI Crypto,0.0075757576,79307.5642077254
2022-12-23,5,Binance Pool,0.0909090909,951690.7673521251
2022-12-23,0,Foundry USA,0.2500000000,2617149.6104800589
2022-12-23,4,F2Pool,0.1969696970,2061996.6631197010
2022-12-23,1,AntPool,0.3257575758,3410225.2504635928
2022-12-23,3,ViaBTC,0.0757575758,793075.6399835342
2022-12-24,5,Binance Pool,0.1685393258,1769541.3950874140
2022-12-24,3,ViaBTC,0.1011235955,1061724.8372624340
2022-12-24,1,AntPool,0.3707865169,3892991.0706622098
2022-12-24,0,Foundry USA,0.1123595506,1179694.2640915613
2022-12-24,6,Mara Pool,0.0112359551,117969.4268291273
2022-12-24,4,F2Pool,0.1460674157,1533602.5424790874
2022-12-24,8,Braiins Pool,0.0337078652,353908.2794374540
2022-12-24,9,BTC.com,0.0112359551,117969.4268291273
2022-12-24,10,Poolin,0.0112359551,117969.4268291273
2022-12-25,10,Poolin,0.0070921986,74773.2747669557
2022-12-25,4,F2Pool,0.1560283688,1645012.0406558118
2022-12-25,1,AntPool,0.2482269504,2617064.6105176290
2022-12-25,2,Unknown,0.0070921986,74773.2747669557
2022-12-25,6,Mara Pool,0.0283687943,299093.0980135194
2022-12-25,9,BTC.com,0.0141843972,149546.5495339113
2022-12-25,0,Foundry USA,0.2056737589,2168424.9629701981
2022-12-25,5,Binance Pool,0.1134751773,1196372.3931083807
2022-12-25,3,ViaBTC,0.1063829787,1121599.1183414252
2022-12-25,8,Braiins Pool,0.0709219858,747732.7455609501
2022-12-26,4,F2Pool,0.1937984496,2048910.0787596377
2022-12-26,3,ViaBTC,0.1240310078,1311302.4509982211
2022-12-26,1,AntPool,0.2170542636,2294779.2887182683
2022-12-26,0,Foundry USA,0.2480620155,2622604.9009392047
2022-12-26,5,Binance Pool,0.0620155039,655651.2254991105
2022-12-26,7,SBI Crypto,0.0155038760,163912.8066390870
2022-12-26,9,BTC.com,0.0232558140,245869.2099586306
2022-12-26,2,Unknown,0.0077519380,81956.4033195435
2022-12-26,6,Mara Pool,0.0155038760,163912.8066390870
2022-12-26,8,Braiins Pool,0.0232558140,245869.2099586306
2022-12-26,10,Poolin,0.0155038760,163912.8066390870
2022-12-27,4,F2Pool,0.1043478261,1097322.4458738058
2022-12-27,5,Binance Pool,0.0956521739,1005878.9084547551
2022-12-27,2,Unknown,0.0173913043,182887.0737865006
2022-12-27,3,ViaBTC,0.1130434783,1188765.9832928565
2022-12-27,9,BTC.com,0.0173913043,182887.0737865006
2022-12-27,7,SBI Crypto,0.0086956522,91443.5374190507
2022-12-27,8,Braiins Pool,0.0347826087,365774.1486246019
2022-12-27,6,Mara Pool,0.0086956522,91443.5374190507
2022-12-27,1,AntPool,0.2173913043,2286088.4281150615
2022-12-27,0,Foundry USA,0.3565217391,3749185.0226134690
