date,miner_id,pool_name,blocks_mined,block_count,cost_per_block,daily_share,cost_usd_per_day
2023-05-16,0,Foundry USA,18,76,232033.2082863197,0.2368421053,4176597.7491537547
2023-05-16,1,AntPool,16,76,232033.2082863197,0.2105263158,3712531.3325811154
2023-05-16,3,ViaBTC,11,76,232033.2082863197,0.1447368421,2552365.2911495171
2023-05-16,4,F2Pool,9,76,232033.2082863197,0.1184210526,2088298.8745768773
2023-05-16,5,Binance Pool,12,76,232033.2082863197,0.1578947368,2784398.4994358364
2023-05-16,6,MARA Pool,4,76,232033.2082863197,0.0526315789,928132.8331452789
2023-05-16,8,Braiins Pool,1,76,232033.2082863197,0.0131578947,232033.2082863197
2023-05-16,9,BTC.com,3,76,232033.2082863197,0.0394736842,696099.6248589591
2023-05-16,10,Poolin,1,76,232033.2082863197,0.0131578947,232033.2082863197
2023-05-16,11,Carbon Negative,1,76,232033.2082863197,0.0131578947,232033.2082863197
2023-05-17,0,Foundry USA,52,152,114943.3700672720,0.3421052632,5977055.2434981428
2023-05-17,1,AntPool,37,152,114943.3700672720,0.2434210526,4252904.6924890634
2023-05-17,3,ViaBTC,17,152,114943.3700672720,0.1118421053,1954037.2911436236
2023-05-17,4,F2Pool,23,152,114943.3700672720,0.1513157895,2643697.5115472558
2023-05-17,5,Binance Pool,12,152,114943.3700672720,0.0789473684,1379320.4408072638
2023-05-17,6,MARA Pool,1,152,114943.3700672720,0.0065789474,114943.3700672720
2023-05-17,8,Braiins Pool,1,152,114943.3700672720,0.0065789474,114943.3700672720
2023-05-17,9,BTC.com,3,152,114943.3700672720,0.0197368421,344830.1102018160
2023-05-17,10,Poolin,3,152,114943.3700672720,0.0197368421,344830.1102018160
2023-05-17,11,Carbon Negative,1,152,114943.3700672720,0.0065789474,114943.3700672720
2023-05-17,12,KuCoinPool,2,152,114943.3700672720,0.0131578947,229886.7401345440
2023-05-18,0,Foundry USA,43,131,132576.7634189368,0.3282442748,5700800.8270142805
2023-05-18,1,AntPool,35,131,132576.7634189368,0.2671755725,4640186.7196627865
2023-05-18,3,ViaBTC,13,131,132576.7634189368,0.0992366412,1723497.9244461777
2023-05-18,4,F2Pool,22,131,132576.7634189368,0.1679389313,2916688.7952166088
2023-05-18,5,Binance Pool,5,131,132576.7634189368,0.0381679389,662883.8170946838
2023-05-18,6,MARA Pool,2,131,132576.7634189368,0.0152671756,265153.5268378735
2023-05-18,7,SBI Crypto,4,131,132576.7634189368,0.0305343511,530307.0536757470
2023-05-18,9,BTC.com,3,131,132576.7634189368,0.0229007634,397730.2902568103
2023-05-18,10,Poolin,2,131,132576.7634189368,0.0152671756,265153.5268378735
2023-05-18,11,Carbon Negative,2,131,132576.7634189368,0.0152671756,265153.5268378735
2023-05-19,0,Foundry USA,44,142,123797.3542445057,0.3098591549,5447083.5867582504
2023-05-19,1,AntPool,46,142,123797.3542445057,0.3239436620,5694678.2952472623
2023-05-19,3,ViaBTC,17,142,123797.3542445057,0.1197183099,2104555.0221565966
2023-05-19,4,F2Pool,14,142,123797.3542445057,0.0985915493,1733162.9594230796
2023-05-19,5,Binance Pool,8,142,123797.3542445057,0.0563380282,990378.8339560456
2023-05-19,6,MARA Pool,4,142,123797.3542445057,0.0281690141,495189.4169780228
2023-05-19,7,SBI Crypto,1,142,123797.3542445057,0.0070422535,123797.3542445057
2023-05-19,8,Braiins Pool,4,142,123797.3542445057,0.0281690141,495189.4169780228
2023-05-19,9,BTC.com,2,142,123797.3542445057,0.0140845070,247594.7084890114
2023-05-19,10,Poolin,1,142,123797.3542445057,0.0070422535,123797.3542445057
2023-05-19,11,Carbon Negative,1,142,123797.3542445057,0.0070422535,123797.3542445057
2023-05-20,0,Foundry USA,36,120,145062.2973636520,0.3000000000,5222242.7050914727
2023-05-20,1,AntPool,27,120,145062.2973636520,0.2250000000,3916682.0288186050
2023-05-20,3,ViaBTC,7,120,145062.2973636520,0.0583333333,1015436.0815455642
2023-05-20,4,F2Pool,16,120,145062.2973636520,0.1333333333,2320996.7578184325
2023-05-20,5,Binance Pool,16,120,145062.2973636520,0.1333333333,2320996.7578184325
2023-05-20,6,MARA Pool,7,120,145062.2973636520,0.0583333333,1015436.0815455642
2023-05-20,7,SBI Crypto,1,120,145062.2973636520,0.0083333333,145062.2973636520
2023-05-20,8,Braiins Pool,3,120,145062.2973636520,0.0250000000,435186.8920909561
2023-05-20,9,BTC.com,3,120,145062.2973636520,0.0250000000,435186.8920909561
2023-05-20,10,Poolin,2,120,145062.2973636520,0.0166666667,290124.5947273041
2023-05-20,11,Carbon Negative,2,120,145062.2973636520,0.0166666667,290124.5947273041
2023-05-21,0,Foundry USA,48,144,118733.0219040926,0.3333333333,5699185.0513964444
2023-05-21,1,AntPool,34,144,118733.0219040926,0.2361111111,4036922.7447391478
2023-05-21,3,ViaBTC,14,144,118733.0219040926,0.0972222222,1662262.3066572961
2023-05-21,4,F2Pool,24,144,118733.0219040926,0.1666666667,2849592.5256982222
2023-05-21,5,Binance Pool,10,144,118733.0219040926,0.0694444444,1187330.2190409258
2023-05-21,6,MARA Pool,5,144,118733.0219040926,0.0347222222,593665.1095204629
2023-05-21,7,SBI Crypto,1,144,118733.0219040926,0.0069444444,118733.0219040926
2023-05-21,8,Braiins Pool,5,144,118733.0219040926,0.0347222222,593665.1095204629
2023-05-21,10,Poolin,1,144,118733.0219040926,0.0069444444,118733.0219040926
2023-05-21,11,Carbon Negative,2,144,118733.0219040926,0.0138888889,237466.0438081852
2023-05-22,0,Foundry USA,45,136,125815.2321869861,0.3308823529,5661685.4484143751
2023-05-22,1,AntPool,41,136,125815.2321869861,0.3014705882,5158424.5196664305
2023-05-22,3,ViaBTC,7,136,125815.2321869861,0.0514705882,880706.6253089027
2023-05-22,4,F2Pool,13,136,125815.2321869861,0.0955882353,1635598.0184308193
2023-05-22,5,Binance Pool,10,136,125815.2321869861,0.0735294118,1258152.3218698611
2023-05-22,6,MARA Pool,5,136,125815.2321869861,0.0367647059,629076.1609349306
2023-05-22,7,SBI Crypto,3,136,125815.2321869861,0.0220588235,377445.6965609583
2023-05-22,8,Braiins Pool,3,136,125815.2321869861,0.0220588235,377445.6965609583
2023-05-22,9,BTC.com,1,136,125815.2321869861,0.0073529412,125815.2321869861
2023-05-22,10,Poolin,4,136,125815.2321869861,0.0294117647,503260.9287479444
2023-05-22,12,KuCoinPool,4,136,125815.2321869861,0.0294117647,503260.9287479444
2023-05-23,0,Foundry USA,57,146,117682.6547470551,0.3904109589,6707911.3205821412
2023-05-23,1,AntPool,35,146,117682.6547470551,0.2397260274,4118892.9161469284
2023-05-23,3,ViaBTC,12,146,117682.6547470551,0.0821917808,1412191.8569646613
2023-05-23,4,F2Pool,16,146,117682.6547470551,0.1095890411,1882922.4759528816
2023-05-23,5,Binance Pool,11,146,117682.6547470551,0.0753424658,1294509.2022176061
2023-05-23,6,MARA Pool,5,146,117682.6547470551,0.0342465753,588413.2737352755
2023-05-23,7,SBI Crypto,1,146,117682.6547470551,0.0068493151,117682.6547470551
2023-05-23,8,Braiins Pool,3,146,117682.6547470551,0.0205479452,353047.9642411653
2023-05-23,9,BTC.com,3,146,117682.6547470551,0.0205479452,353047.9642411653
2023-05-23,10,Poolin,3,146,117682.6547470551,0.0205479452,353047.9642411653
