2025-12-30 17:39:03,659 - INFO - Starting collection from 790000 to 890000
2025-12-30 17:39:04,209 - WARNING - Failed to get hash for 790000: 404
2025-12-30 17:39:04,211 - ERROR - Failed to connect to API or fetch block 790000. Check internet connection or API URL.
2025-12-30 17:40:57,299 - INFO - Starting collection from 790000 to 890000
2025-12-30 17:40:58,392 - INFO - Collected 790000: Pool=Unknown, Score=None
2025-12-30 17:40:59,198 - INFO - Collected 790001: Pool=Unknown, Score=None
2025-12-30 17:41:00,044 - INFO - Collected 790002: Pool=Unknown, Score=None
2025-12-30 17:41:00,834 - INFO - Collected 790003: Pool=Unknown, Score=None
2025-12-30 17:41:01,605 - INFO - Collected 790004: Pool=Unknown, Score=None
2025-12-30 17:41:02,435 - INFO - Collected 790005: Pool=Unknown, Score=None
2025-12-30 17:41:03,259 - INFO - Collected 790006: Pool=Unknown, Score=None
2025-12-30 17:41:04,085 - INFO - Collected 790007: Pool=Unknown, Score=None
2025-12-30 17:41:04,925 - INFO - Collected 790008: Pool=Unknown, Score=None
2025-12-30 17:41:05,731 - INFO - Collected 790009: Pool=Unknown, Score=None
2025-12-30 17:41:06,541 - INFO - Collected 790010: Pool=Unknown, Score=None
2025-12-30 17:41:07,334 - INFO - Collected 790011: Pool=Unknown, Score=None
2025-12-30 17:41:08,153 - INFO - Collected 790012: Pool=Unknown, Score=None
2025-12-30 17:41:08,967 - INFO - Collected 790013: Pool=Unknown, Score=None
2025-12-30 17:41:09,781 - INFO - Collected 790014: Pool=Unknown, Score=None
2025-12-30 17:41:10,616 - INFO - Collected 790015: Pool=Unknown, Score=None
2025-12-30 17:41:11,387 - INFO - Collected 790016: Pool=Unknown, Score=None
2025-12-30 17:41:12,304 - INFO - Collected 790017: Pool=Unknown, Score=None
2025-12-30 17:41:13,223 - INFO - Collected 790018: Pool=Unknown, Score=None
2025-12-30 17:41:14,053 - INFO - Collected 790019: Pool=Unknown, Score=None
2025-12-30 17:41:14,898 - INFO - Collected 790020: Pool=Unknown, Score=None
2025-12-30 17:41:15,751 - INFO - Collected 790021: Pool=Unknown, Score=None
2025-12-30 17:41:16,585 - INFO - Collected 790022: Pool=Unknown, Score=None
2025-12-30 17:41:17,428 - INFO - Collected 790023: Pool=Unknown, Score=None
2025-12-30 17:41:18,291 - INFO - Collected 790024: Pool=Unknown, Score=None
2025-12-30 17:41:19,140 - INFO - Collected 790025: Pool=Unknown, Score=None
2025-12-30 17:41:20,148 - INFO - Collected 790026: Pool=Unknown, Score=None
2025-12-30 17:41:21,008 - INFO - Collected 790027: Pool=Unknown, Score=None
2025-12-30 17:41:21,893 - INFO - Collected 790028: Pool=Unknown, Score=None
2025-12-30 17:41:22,807 - INFO - Collected 790029: Pool=Unknown, Score=None
2025-12-30 17:41:23,610 - INFO - Collected 790030: Pool=Unknown, Score=None
2025-12-30 17:41:24,437 - INFO - Collected 790031: Pool=Unknown, Score=None
2025-12-30 17:41:25,289 - INFO - Collected 790032: Pool=Unknown, Score=None
2025-12-30 17:41:26,143 - INFO - Collected 790033: Pool=Unknown, Score=None
2025-12-30 17:41:26,935 - INFO - Collected 790034: Pool=Unknown, Score=None
2025-12-30 17:41:27,754 - INFO - Collected 790035: Pool=Unknown, Score=None
2025-12-30 17:41:28,563 - INFO - Collected 790036: Pool=Unknown, Score=None
2025-12-30 17:41:29,394 - INFO - Collected 790037: Pool=Unknown, Score=None
2025-12-30 17:41:30,245 - INFO - Collected 790038: Pool=Unknown, Score=None
2025-12-30 17:41:31,124 - INFO - Collected 790039: Pool=Unknown, Score=None
2025-12-30 17:41:32,054 - INFO - Collected 790040: Pool=Unknown, Score=None
2025-12-30 17:41:32,944 - INFO - Collected 790041: Pool=Unknown, Score=None
2025-12-30 17:41:33,831 - INFO - Collected 790042: Pool=Unknown, Score=None
2025-12-30 17:41:34,659 - INFO - Collected 790043: Pool=Unknown, Score=None
2025-12-30 17:41:35,509 - INFO - Collected 790044: Pool=Unknown, Score=None
2025-12-30 17:41:36,338 - INFO - Collected 790045: Pool=Unknown, Score=None
2025-12-30 17:41:37,183 - INFO - Collected 790046: Pool=Unknown, Score=None
2025-12-30 17:41:38,010 - INFO - Collected 790047: Pool=Unknown, Score=None
2025-12-30 17:41:38,897 - INFO - Collected 790048: Pool=Unknown, Score=None
2025-12-30 17:41:39,760 - INFO - Collected 790049: Pool=Unknown, Score=None
2025-12-30 17:41:41,035 - INFO - Collected 790050: Pool=Unknown, Score=None
