Average electricity cost assumption: 0.05 USD/kWh,,,,,,,
Timestamp,Date and Time,"power MAX, GW","power MIN, GW","power GUESS, GW","annualised consumption MAX, TWh","annualised consumption MIN, TWh","annualised consumption GUESS, TWh"
1279411200,2010-07-18T00:00:00,2.666175316136136e-05,2.244030891081248e-05,2.4439939527450977e-05,0.000233717,0.000196712,0.000214241
1279497600,2010-07-19T00:00:00,2.6816763943352878e-05,2.2570776318988676e-05,2.4582032739215682e-05,0.000235076,0.000197855,0.000215486
1279584000,2010-07-20T00:00:00,2.7230124311016476e-05,2.2918687961772202e-05,2.4960946396078426e-05,0.000238699,0.000200905,0.000218808
1279670400,2010-07-21T00:00:00,2.8444370713087138e-05,2.394067868351501e-05,2.607400555833333e-05,0.000249343,0.000209864,0.000228565
1279756800,2010-07-22T00:00:00,2.8211855484805772e-05,2.3744978366378196e-05,2.5860866606666663e-05,0.000247305,0.000208148,0.000226696
1279843200,2010-07-23T00:00:00,2.8521875960945635e-05,2.4005912267129244e-05,2.6145052033006536e-05,0.000250023,0.000210436,0.000229188
1279929600,2010-07-24T00:00:00,2.8632597416429758e-05,2.409910282549505e-05,2.6246546696918762e-05,0.000250993,0.000211253,0.000230077
1280016000,2010-07-25T00:00:00,2.993911220245896e-05,2.5198752770402963e-05,2.744418520812325e-05,0.000262446,0.000220892,0.000240576
1280102400,2010-07-26T00:00:00,3.1467069490492796e-05,2.648478348783144e-05,2.8844812672268906e-05,0.00027584,0.000232166,0.000252854
1280188800,2010-07-27T00:00:00,3.234271396873896e-05,2.722178425702196e-05,2.9647486748739492e-05,0.000283516,0.000238626,0.00025989
1280275200,2010-07-28T00:00:00,3.24952407876168e-05,2.735016099624414e-05,2.9787302994397758e-05,0.000284853,0.000239752,0.000261115
1280361600,2010-07-29T00:00:00,3.3959803155745684e-05,2.858283432275261e-05,3.112981845070028e-05,0.000297692,0.000250557,0.000272884
1280448000,2010-07-30T00:00:00,3.508534516894272e-05,2.9530165517193454e-05,3.2161565259383747e-05,0.000307558,0.000258861,0.000281928
1280534400,2010-07-31T00:00:00,3.694717134281735e-05,3.1097202546871274e-05,3.386823919131653e-05,0.000323879,0.000272598,0.000296889
1280620800,2010-08-01T00:00:00,3.89513278915092e-05,3.278403430868691e-05,3.570538262885154e-05,0.000341447,0.000287385,0.000312993
1280707200,2010-08-02T00:00:00,4.0779119378457366e-05,3.432242547686828e-05,3.738085809887955e-05,0.00035747,0.00030087,0.000327681
1280793600,2010-08-03T00:00:00,4.2657383926026714e-05,3.590329813773916e-05,3.9102600539495797e-05,0.000373935,0.000314728,0.000342773
1280880000,2010-08-04T00:00:00,4.515963237481176e-05,3.80093572487999e-05,4.1396328202521e-05,0.000395869,0.00033319,0.00036288
1280966400,2010-08-05T00:00:00,4.675245709708872e-05,3.934998472338301e-05,4.285641747927171e-05,0.000409832,0.000344942,0.000375679
1281052800,2010-08-06T00:00:00,4.764544613057449e-05,4.010158382656686e-05,4.367499073081232e-05,0.00041766,0.00035153,0.000382855
1281139200,2010-08-07T00:00:00,4.825652019603624e-05,4.06159044983305e-05,4.423514193753501e-05,0.000423017,0.000356039,0.000387765
1281225600,2010-08-08T00:00:00,4.9685264959528076e-05,4.181843134093613e-05,4.55448245907563e-05,0.000435541,0.00036658,0.000399246
1281312000,2010-08-09T00:00:00,5.0638040136319675e-05,4.2620350448069065e-05,4.641820180504201e-05,0.000443893,0.00037361,0.000406902
1281398400,2010-08-10T00:00:00,5.208060091711032e-05,4.383450577190119e-05,4.774054914033613e-05,0.000456539,0.000384253,0.000418494
1281484800,2010-08-11T00:00:00,5.485069385946864e-05,4.616600066505277e-05,5.027980091372549e-05,0.000480821,0.000404691,0.000440753
1281571200,2010-08-12T00:00:00,5.7217353207626156e-05,4.8157938949752015e-05,5.2449238572268906e-05,0.000501567,0.000422152,0.00045977
1281657600,2010-08-13T00:00:00,6.013835862594768e-05,5.061645184350597e-05,5.512682677703081e-05,0.000527173,0.000443704,0.000483242
1281744000,2010-08-14T00:00:00,6.555081094645104e-05,5.517193254659629e-05,6.008824122745098e-05,0.000574618,0.000483637,0.000526734
1281830400,2010-08-15T00:00:00,6.694579658269007e-05,5.634604545709748e-05,6.136697801512605e-05,0.000586847,0.000493929,0.000537943
1281916800,2010-08-16T00:00:00,6.796066421211335e-05,5.7200225711862084e-05,6.229727330896359e-05,0.000595743,0.000501417,0.000546098
1282003200,2010-08-17T00:00:00,6.780892284872567e-05,5.707251006434412e-05,6.215817706414565e-05,0.000594413,0.000500298,0.000544879
1282089600,2010-08-18T00:00:00,6.610273120812528e-05,5.563646543350545e-05,6.059416811596638e-05,0.000579457,0.000487709,0.000531168
1282176000,2010-08-19T00:00:00,6.520868557628256e-05,5.488397702670449e-05,5.977462631596638e-05,0.000571619,0.000481113,0.000523984
1282262400,2010-08-20T00:00:00,6.802121323611865e-05,5.725118780706653e-05,6.23527765789916e-05,0.000596274,0.000501864,0.000546584
1282348800,2010-08-21T00:00:00,6.675014283454512e-05,5.618137021907548e-05,6.118762875238095e-05,0.000585132,0.000492486,0.000536371
1282435200,2010-08-22T00:00:00,7.004105901898272e-05,5.8951224674310466e-05,6.42043018140056e-05,0.00061398,0.000516766,0.000562815
1282521600,2010-08-23T00:00:00,7.416112174723729e-05,6.241894413725805e-05,6.798102584705883e-05,0.000650096,0.000547164,0.000595922
