pool_name,miner_id
Foundry USA,0
AntPool,1
Unknown,2
ViaBTC,3
F2Pool,4
Binance Pool,5
Mara Pool,6
SBI Crypto,7
Braiins Pool,8
BTC.com,9
Poolin,10
BTC M4,11
Kucoin,12
1THash,13
50BTC,14
BitFuFuPool,15
Carbon Negative,16
EMCDPool,17
FutureBit Apollo Solo,18
GDPool,19
KanoPool,20
KuCoinPool,21
Luxor,22
MARA Pool,23
MaxiPool,24
Mining-Dutch,25
Neopool,26
NiceHash,27
OCEAN,28
PEGA Pool,29
Phoenix,30
Public Pool,31
SECPOOL,32
Solo CK,33
SpiderPool,34
Terra Pool,35
ULTIMUSPOOL,36
WhitePool,37
Zulupool,38
luckyPool,39
