date,pool_name,blocks_mined,share
2022-12-20,ViaBTC,2,0.1
2022-12-20,F2Pool,2,0.1
2022-12-20,AntPool,6,0.3
2022-12-20,Foundry USA,5,0.25
2022-12-20,Binance Pool,3,0.15
2022-12-20,BTC.com,1,0.05
2022-12-20,Luxor,1,0.05
2022-12-21,Braiins Pool,5,0.03496503496503497
2022-12-21,Unknown,2,0.013986013986013986
2022-12-21,SBI Crypto,1,0.006993006993006993
2022-12-21,Foundry USA,49,0.34265734265734266
2022-12-21,Luxor,2,0.013986013986013986
2022-12-21,Binance Pool,13,0.09090909090909091
2022-12-21,ViaBTC,18,0.1258741258741259
2022-12-21,Mara Pool,3,0.02097902097902098
2022-12-21,AntPool,28,0.1958041958041958
2022-12-21,Ultimus,1,0.006993006993006993
2022-12-21,BTC.com,3,0.02097902097902098
2022-12-21,F2Pool,18,0.1258741258741259
2022-12-22,ViaBTC,19,0.14074074074074075
2022-12-22,Foundry USA,40,0.2962962962962963
2022-12-22,AntPool,34,0.2518518518518518
2022-12-22,Braiins Pool,7,0.05185185185185185
2022-12-22,Mara Pool,2,0.014814814814814815
2022-12-22,Binance Pool,6,0.044444444444444446
2022-12-22,Unknown,2,0.014814814814814815
2022-12-22,BTC.com,2,0.014814814814814815
2022-12-22,Ultimus,2,0.014814814814814815
2022-12-22,SBI Crypto,2,0.014814814814814815
2022-12-22,Poolin,1,0.007407407407407408
2022-12-22,F2Pool,16,0.11851851851851852
2022-12-22,Luxor,2,0.014814814814814815
2022-12-23,Braiins Pool,2,0.015151515151515152
2022-12-23,Titan,2,0.015151515151515152
2022-12-23,SBI Crypto,1,0.007575757575757576
2022-12-23,Luxor,1,0.007575757575757576
2022-12-23,Ultimus,2,0.015151515151515152
2022-12-23,Binance Pool,12,0.09090909090909091
2022-12-23,Foundry USA,33,0.25
2022-12-23,F2Pool,26,0.19696969696969696
2022-12-23,AntPool,43,0.32575757575757575
2022-12-23,ViaBTC,10,0.07575757575757576
2022-12-24,Binance Pool,15,0.16853932584269662
2022-12-24,ViaBTC,9,0.10112359550561797
2022-12-24,AntPool,33,0.3707865168539326
2022-12-24,Foundry USA,10,0.11235955056179775
2022-12-24,Mara Pool,1,0.011235955056179775
2022-12-24,F2Pool,13,0.14606741573033707
2022-12-24,Titan,1,0.011235955056179775
2022-12-24,Braiins Pool,3,0.033707865168539325
2022-12-24,BTC.com,1,0.011235955056179775
2022-12-24,Poolin,1,0.011235955056179775
2022-12-24,Luxor,2,0.02247191011235955
2022-12-25,Poolin,1,0.0070921985815602835
2022-12-25,Ultimus,1,0.0070921985815602835
2022-12-25,F2Pool,22,0.15602836879432624
2022-12-25,AntPool,35,0.24822695035460993
2022-12-25,Unknown,1,0.0070921985815602835
2022-12-25,Titan,1,0.0070921985815602835
2022-12-25,Mara Pool,4,0.028368794326241134
2022-12-25,BTC.com,2,0.014184397163120567
2022-12-25,Luxor,4,0.028368794326241134
2022-12-25,Foundry USA,29,0.20567375886524822
2022-12-25,Binance Pool,16,0.11347517730496454
2022-12-25,ViaBTC,15,0.10638297872340426
2022-12-25,Braiins Pool,10,0.07092198581560284
2022-12-26,F2Pool,25,0.1937984496124031
2022-12-26,ViaBTC,16,0.12403100775193798
2022-12-26,AntPool,28,0.21705426356589147
2022-12-26,Foundry USA,32,0.24806201550387597
2022-12-26,Binance Pool,8,0.06201550387596899
2022-12-26,Ultimus,3,0.023255813953488372
2022-12-26,SBI Crypto,2,0.015503875968992248
2022-12-26,BTC.com,3,0.023255813953488372
2022-12-26,Unknown,1,0.007751937984496124
2022-12-26,Mara Pool,2,0.015503875968992248
2022-12-26,Braiins Pool,3,0.023255813953488372
2022-12-26,Poolin,2,0.015503875968992248
2022-12-26,Luxor,4,0.031007751937984496
2022-12-27,F2Pool,12,0.10434782608695652
2022-12-27,Binance Pool,11,0.09565217391304348
2022-12-27,Unknown,2,0.017391304347826087
2022-12-27,ViaBTC,13,0.11304347826086956
2022-12-27,Ultimus,2,0.017391304347826087
2022-12-27,BTC.com,2,0.017391304347826087
2022-12-27,SBI Crypto,1,0.008695652173913044
2022-12-27,Luxor,1,0.008695652173913044
2022-12-27,Braiins Pool,4,0.034782608695652174
2022-12-27,Mara Pool,1,0.008695652173913044
2022-12-27,AntPool,25,0.21739130434782608
2022-12-27,Foundry USA,41,0.3565217391304348
2022-12-28,Foundry USA,52,0.30952380952380953
2022-12-28,F2Pool,25,0.1488095238095238
2022-12-28,ViaBTC,12,0.07142857142857142
2022-12-28,Luxor,4,0.023809523809523808
2022-12-28,BTC M4,1,0.005952380952380952
2022-12-28,Braiins Pool,4,0.023809523809523808
2022-12-28,BTC.com,6,0.03571428571428571
2022-12-28,SBI Crypto,1,0.005952380952380952
